# ZZ, ZT, RHO, THBAR, PBAR, PIBAR, QVBAR, Q1LS, Q2LS, RHOZ
1.740000000000000000e+04 1.730000000000000000e+04 1.580000000000000016e-01 3.864700000000000273e+02 8.770012000000000626e+03 4.989999999999999991e-01 2.489999999999999877e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.559999999999999998e-01
1.760000000000000000e+04 1.750000000000000000e+04 1.529999999999999971e-01 3.909710000000000036e+02 8.464855999999999767e+03 4.939999999999999947e-01 2.449999999999999836e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.499999999999999944e-01
1.780000000000000000e+04 1.770000000000000000e+04 1.469999999999999918e-01 3.955190000000000055e+02 8.170742000000000189e+03 4.889999999999999902e-01 2.420000000000000123e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.449999999999999900e-01
1.800000000000000000e+04 1.790000000000000000e+04 1.419999999999999873e-01 4.001120000000000232e+02 7.887252000000000407e+03 4.839999999999999858e-01 2.380000000000000083e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.390000000000000124e-01
1.820000000000000000e+04 1.810000000000000000e+04 1.370000000000000107e-01 4.047520000000000095e+02 7.613988999999999578e+03 4.789999999999999813e-01 2.340000000000000042e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.340000000000000080e-01
1.840000000000000000e+04 1.830000000000000000e+04 1.320000000000000062e-01 4.094390000000000214e+02 7.350569999999999709e+03 4.739999999999999769e-01 2.300000000000000002e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.290000000000000036e-01
1.860000000000000000e+04 1.850000000000000000e+04 1.270000000000000018e-01 4.141739999999999782e+02 7.096627000000000407e+03 4.699999999999999734e-01 2.259999999999999961e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.250000000000000000e-01
1.880000000000000000e+04 1.870000000000000000e+04 1.219999999999999973e-01 4.201899999999999977e+02 6.852162000000000262e+03 4.650000000000000244e-01 2.250000000000000057e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.199999999999999956e-01
1.900000000000000000e+04 1.890000000000000000e+04 1.170000000000000068e-01 4.270760000000000218e+02 6.617354999999999563e+03 4.600000000000000200e-01 2.250000000000000057e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.150000000000000050e-01
1.920000000000000000e+04 1.910000000000000000e+04 1.130000000000000032e-01 4.340310000000000059e+02 6.391988999999999578e+03 4.560000000000000164e-01 2.259999999999999961e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.100000000000000006e-01
1.940000000000000000e+04 1.930000000000000000e+04 1.079999999999999988e-01 4.410550000000000068e+02 6.175627000000000407e+03 4.510000000000000120e-01 2.259999999999999961e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.059999999999999970e-01
1.960000000000000000e+04 1.950000000000000000e+04 1.039999999999999952e-01 4.481490000000000009e+02 5.967856999999999971e+03 4.470000000000000084e-01 2.269999999999999866e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.019999999999999934e-01
1.980000000000000000e+04 1.970000000000000000e+04 1.000000000000000056e-01 4.553109999999999786e+02 5.768289999999999964e+03 4.430000000000000049e-01 2.269999999999999866e-06 0.000000000000000000e+00 0.000000000000000000e+00 9.800000000000000377e-02
2.000000000000000000e+04 1.990000000000000000e+04 9.600000000000000200e-02 4.625439999999999827e+02 5.576551999999999680e+03 4.380000000000000004e-01 2.280000000000000193e-06 0.000000000000000000e+00 0.000000000000000000e+00 9.400000000000000022e-02
